model_label,q,n_display,rel,leader_share,n_valid,k_leader,p_leader,rest_share,lead,beta_eff,beta_eff_ci_lo,beta_eff_ci_hi,at_boundary
gemma4_31B_dense,2,24,0.1,0.5416666666666666,150,113,0.7533333333333333,0.45833333333333337,0.08333333333333326,6.644771423670558,4.429728070309561,8.859814777031554,False
gemma4_31B_dense,2,24,0.25,0.625,150,142,0.9466666666666667,0.375,0.25,5.638551672424871,4.2544829780780935,7.0226203667716485,False
gemma4_31B_dense,2,24,0.4,0.6666666666666666,150,135,0.9,0.33333333333333337,0.33333333333333326,3.2521974245918335,2.4638814861462857,4.040513363037381,False
gemma4_31B_dense,2,24,0.6,0.7916666666666666,150,144,0.96,0.20833333333333337,0.5833333333333333,2.658409140557911,1.9848012690583412,3.3320170120574804,False
gemma4_31B_dense,2,24,0.8,0.875,150,148,0.9866666666666667,0.125,0.75,2.7228628175790672,1.8895269881776429,3.556198646980492,False
gemma4_31B_dense,2,24,1.0,0.9583333333333334,150,150,1.0,0.04166666666666663,0.9166666666666667,3.1129692353175655,1.598536955004308,4.627401515630823,True
gemma4_31B_dense,2,49,0.1,0.5510204081632653,150,112,0.7466666666666667,0.44897959183673475,0.1020408163265305,5.254245403718614,3.461023648487447,7.0474671589497815,False
gemma4_31B_dense,2,49,0.25,0.6326530612244898,150,125,0.8333333333333334,0.36734693877551017,0.26530612244897966,3.003374538998671,2.201003353704121,3.805745724293221,False
gemma4_31B_dense,2,49,0.4,0.6938775510204082,150,129,0.86,0.30612244897959184,0.3877551020408163,2.315414983007706,1.726838488232105,2.9039914777833067,False
gemma4_31B_dense,2,49,0.6,0.7959183673469388,150,141,0.94,0.20408163265306123,0.5918367346938775,2.281886000092467,1.7269120364160142,2.8368599637689194,False
gemma4_31B_dense,2,49,0.8,0.8775510204081632,150,146,0.9733333333333334,0.12244897959183676,0.7551020408163265,2.306276399356236,1.6851444967561924,2.92740830195628,False
gemma4_31B_dense,2,49,1.0,0.979591836734694,150,150,1.0,0.020408163265306034,0.9591836734693879,2.974983010347815,1.527679820473975,4.422286200221655,True
